id,name,countryCode,masl,lon,lat
SN29950,SVENNER FYR,NO,15.0,10.148,58.9688
SN67560,KOTSØY,NO,127.0,10.5608,62.9763
SN70960,E6 SNÅSA,NO,215.0,12.341,64.3333
SN59530,FV61 KVILEHYTTA,NO,168.0,5.538,62.0163
SN244000,AMOT,SE,162.0,16.4311111111111,60.9622222222222
SN271400,VAALA PELSO,FI,114.0,26.4402777777778,64.5013888888889
SN1077600,REGENSBURG,DE,365.0,12.1019444444444,49.0422222222222
SN34095,E18 STOKKEBAKKEN,NO,50.0,9.6068,58.9817
SN1711200,CANAKKALE,TR,6.0,26.4,40.1333333333333
SN61064,VESTNES - RÅDHUSET,NO,30.0,7.0903,62.6213
SN203600,NIKKALUOKTA,SE,467.0,19.0255555555556,67.8541666666667
SN808400,LOGRONO/AGONCILLO,ES,353.0,-2.33111111111111,42.4522222222222
SN1642000,MESSINA,IT,51.0,15.5488888888889,38.1997222222222
SN26810,HOKKSUND - LOE,NO,7.0,9.9155,59.7688
SN1255000,CZESTOCHOWA,PL,293.0,19.0925,50.8125
SN30246,E18 PAULER,NO,65.0,9.9418,59.0645
SN88626,SENJAHOPEN,NO,5.0,17.4833,69.5
SN644700,UCCLE,BE,99.0,4.35805555555556,50.7969444444444
SN67210,E6 HORG,NO,40.0,10.255,63.1385
SN81915,SULITJELMA - FAGERLI,NO,163.0,16.0797,67.1195
SN32220,LIFJELL - ØYSTEINNATTEN,NO,1102.0,8.9837,59.5022
SN75410,NORDØYAN FYR,NO,33.0,10.5493,64.7977
SN27770,STOKKE - SOLLI,NO,90.0,10.2022,59.2752
SN18215,OSLO - BROBEKK,NO,155.0,10.8315,59.9323
SN90510,TROMSDALEN,NO,3.0,19.0065,69.6508
SN48450,HUSNES,NO,13.0,5.7694553,59.8641203
SN1523500,FAGARAS,RO,428.0,24.9352777777778,45.8363888888889
SN241820,KRISTINEHAMN,SE,82.0,14.1019,59.3107
SN40420,BYKLE - KULTRAN,NO,594.0,7.3438,59.3505
SN1009100,ARKONA,DE,42.0,13.4341666666667,54.6791666666667
SN88500,GRYLLEFJORD,NO,25.0,17.0513,69.3627
SN79600,MO I RANA LUFTHAVN,NO,70.0,14.3015,66.3643
SN82220,RV80 HUNSTAD,NO,25.0,14.5173,67.2783
